Time		Case1		Case2		Case3		Case4
331		331832.6642466096		334022.64900734706		331013.43608563184		331013.43608563184
332		334841.8773007298		337031.86206146725		331013.43608563184		331013.43608563184
333		337851.09035485		340041.07511558745		340041.0752516037		340041.0752516037
334		340860.3034089702		343050.28816970764		340041.0752516037		340041.0752516037
335		343769.9717012386		346059.50122382777		340041.0752516037		340041.0752516037
336		346779.18475535884		349068.714277948		349068.7144175754		349068.7144175754
337		349788.39780947904		352077.9273320682		349068.7144175754		349068.7144175754
338		352797.61086359917		355087.1403861884		349068.7144175754		349068.7144175754
339		355806.8239177194		358096.3534403086		358096.3535835472		358096.3535835472
340		358716.4922099879		361105.5664944287		358096.3535835472		358096.3535835472
341		361725.7052641081		364114.779548549		358096.3535835472		358096.3535835472
342		364734.9183182282		367123.99260266917		367123.992749519		367123.992749519
343		367744.13137234846		370133.20565678936		367123.992749519		367123.992749519
344		370753.3444264686		373142.41871090955		367123.992749519		367123.992749519
345		373663.0127187371		376151.63176502974		376151.6319154908		376151.6319154908
346		376672.2257728573		379160.84481914993		376151.6319154908		376151.6319154908
347		379681.4388269775		382170.05787327007		376151.6319154908		376151.6319154908
348		382690.6518810977		385179.2709273903		385179.27108146256		385179.27108146256
349		385699.8649352179		388188.4839815105		385179.27108146256		385179.27108146256
350		388609.53322748636		391197.6970356307		385179.27108146256		385179.27108146256
351		391618.74628160655		394206.9100897509		394206.91024743434		394206.91024743434
352		394627.95933572674		397216.123143871		394206.91024743434		394206.91024743434
353		397637.17238984694		400225.3361979913		394206.91024743434		394206.91024743434
354		400646.3854439671		403234.54925211146		403234.5494134061		403234.5494134061
355		403556.0537362356		406243.76230623166		403234.5494134061		403234.5494134061
356		406565.2667903558		409252.97536035185		403234.5494134061		403234.5494134061
357		409574.479844476		412262.188414472		412262.1885793779		412262.1885793779
358		412583.6928985961		415271.40146859223		412262.1885793779		412262.1885793779
359		415592.90595271636		418280.61452271236		412262.1885793779		412262.1885793779
360		418502.57424498483		421289.8275768326		421289.8277453496		421289.8277453496
361		421511.787299105		424299.04063095275		421289.8277453496		421289.8277453496
362		424521.00035322516		427308.253685073		421289.8277453496		421289.8277453496
363		427530.2134073454		430317.4667391931		430317.46691132145		430317.46691132145
364		430539.42646146554		433326.6797933134		430317.46691132145		430317.46691132145
365		433449.09475373407		436335.8928474335		430317.46691132145		430317.46691132145
366		436458.30780785426		439345.10590155376		439345.10607729317		439345.10607729317
367		439467.52086197445		442354.31895567395		439345.10607729317		439345.10607729317
368		442476.73391609464		445363.53200979414		439345.10607729317		439345.10607729317
369		445485.94697021483		448372.74506391434		448372.745243265		448372.745243265
370		448395.61526248325		451381.9581180345		448372.745243265		448372.745243265
371		451404.8283166035		454391.1711721547		448372.745243265		448372.745243265
372		454414.0413707237		457400.3842262749		457400.3844092367		457400.3844092367
